Input,Target
Есть животные, привет
Рад знакомству, Расскажи о себе Чем увлекаешься занимаешься Ты здесь
Здорово Я тоже хочу однажды переехать в Москву нопока учусь в институте в Тюмени В данный момент ищу подработку  денег не на чтоне хватает только на еду А ты работаешь, Здравствуйтерасскажите о себе
Я учусь в ВУЗеживу со своими друзьями А вы чем занимаетесьгде работаете , А хобби у вас есть
У меня много увлеченийя люблю спортособенно бег, Природу любите
А я люблю лескстатия отлично жарю шашлыки, Прекрасное желание
привет, Как дела Ты откуда
Москва, Краснодар прекрасный город очень часто там бывалТа и впринципе люблю попутешествовать Особенно поРоссии Нет Курить это не мое Чем занимаетесь
Я когдато давно бросил Ничего в этом хорошего нет Очень мешало по жизни, У меня ещ есть сечта это завести семью а курениеочень мешает в поиске жены
Привет, Извини Я Ника Мн А тебе
Чм занимаешься, Работаю
Хирург На кого учишься, Каким
Есть хобби, Круто
Люблю горы, Люблю кататься на своей машине и люблю спать Ты куришь
Не люблю запах дыма  я веду здоровый образ жизни, 
Как собаку твою зовут, Прикольно
Нету, Та разную под настроение А ты
Ладно мне пора, Привет
Я кореянка как ты относишься к Корее, Я рада чем ты увлекаешься И расскажи немного о себе
Я люблю гулять по парку особенно вечером Мне нравитсяиграть в игры и очень общительная Когда мне скучно я начинаю готовить больше всего люблю корейскуюкухню А ты увлекаешься играми, Да я работаю детским стоматологом но сейчас хочупоменять работу Если честно я люблю котов да ивообще животных А ты где нибудь работаешь
На кого учишься, Это хорошо Я рисую для себя точнее это можно назвать срисовка У меня больше получается срисовать чемсамой придумать
Хорошо мне нравится путешествовать по разным странами узнавать мир Мы все люди но разные и это мненравится Интересно же как они живут во что верят какие у них обычаи и правила А ты, Замечательно У тебя есть мечта Если да то какая
Может ты знаешь  Так вот они и есть моя мечта а если быть точнее то можно сказать я мечтаю статьих другом Но я понимаю что вероятность очень маленькая но все же я верю и мечтаю что когда нибудь мы всетаки встретимся, Хорошо пока
Привет, Мне 18 а тебе Я старше немного а по восточному календарю ты кто У меня год кролика
Я родилась в год драконадева, Где ты родился
А я в деревнесейчас вот путешествую А ты любишь путешествовать, Вообще я люблю общаться а в путешествиях много новыхзнакомств поэтому обязательно куда то съездить надо Я учусь Но стараюсь подрабатывать Люблю чтото новое Открывать Какое твое любимое блюдо
Ахаха А я как ни страннолюблю чай Зелный с лимоном Ням ням, Ну тоже верно
Здравствуйте, Мея максим Мня максим а вас
Ну я очень люблю звезды астрологию так же цветылюблю развожу забочусь о семье У меня жена и дочка Недавно собаку и кошку еще купили А вы, Тоже когда был не женат одиноко было Но друзья помогали Ей Дочке
Да я таксист В первый класс пойдет, Да пол не важен У нас в такси женщини тоже работают
Не нахожу аремя а вы, привет
хорошо сейчас в школе сижу на уроке, а у тебя как
да я не ученик а учитель русского языка а ты чем занимаешся, а семья у тебя есть
я тоже после работы собираюсь ехать к себе на дачув огороде работы много и цветочки полить надо люблю их они красивые,  давай общаться
Отлично я сейчас в лесу грибы собираю А ты, Ого любишь путешествовать Один или с компанией У меня дядя путешествовал с друзьями почти все Средиземьеобошл 
А я не такой с Ту любишь музыку Я очень, Не получится я уезжаю завтра
За мной заедет знакомый Гэндальф может ты слышал, Привет
Можно на ты, На работе сейчас
А я из дома работаю сам на себя Ты программист, Прикольно  я уже несколько лет как забросил офис не мое это вообще Да времени много и в пробках не приходится стоятьпо четыре часа в день А чем ты увлекаешься в свободное от работы время
Конечно понял мужчин секретарей не часто встретишь, Ого Так ты замужем Я думал что многодетные мамашки карьерой уже не интересуются А ты ещ работать умудряешься молодец
Ой извини Нечасто встретишь многодетную матьодиночку, Дома дети наверное покоя не дают Ты гулять с ними ходишь
Я недавно переехал в новый район у нас тут лес рядом я очень много стал гулять на свежем воздухе А почему вы расстались если не секрет, Где любишь отдыхать Я предпочитаю горы
Да с детьми конечно специфика своя, Ничего себе не ожидал что ты такое слушаешь  А сколько лет тебе
У моего друга мама пенсионерка тоже путешествуетактивно пару раз мы даже погружались в Египте Ейбыло 65 лет Я дайвингом давно увлекаюсь помогал ей, привет чем занимаешься
Работаю Сейчпс на обед пойду Хоть кофе выпить, Чем на выходных заниманшься
Это интересно я тоже люблю другие города, Привет как дела 
Нормально учусь в 5 классе меня зовут Елена, Недавно купила новое платье хочу стать моделью А ты
Круто я была в Париже с моими родителями недавновернулась Очень понравился город там так много всегоинтересного, Эйфелеву башню сразу как приехали решили е посетить Лувр очень понравился интересное место Нотр Дам де Пари очень нравится моему отцу а маме большевсего понравилась Триумфальная арка
Нет но мы живм в загородном доме и у нас есть сад в котором больше всего клубники А у тебя, Приветик давай знакомиться
Мне 30 лет зовут Екатерина, У тебя есть семья
У меня есть замечательный муж и двое детишек, Конечно скоро обретешь свое счастье Чем занимаешься
Да конечно есть я танцую очень люблю это занятие а по вечерам читаю книги Какой у тебя любимый цвет , У меня жлтый
А животные есть, Очень бы было здорово гулять по вечерам с собакой
Не у нас нет только у родителей в деревне, Привет
Отлично Сегодня наконец то закрыла сессию Как твоидела откуда ты, А я из Чехии Мне 20 Учусь на учителя Спасибо Аты чем занимаешься Любишь животных
Ого ничего себе Ты молодец У меня две кошки ориентальнойпороды я их просто обожаю Какие планы на вечер, Здорово Я пойду с друзьями в ресторан хочу поестьпиццы в честь закрытия сессии обожаю итальянскуюеду
Сейчас много В школе было мало Многие меня дразнили из за того что я ношу очки А у тебя Любишь кино Какой твой любимый жанр, Я думаю что скоро тебе точно повезт Возможно дажесегодня ты встретишь свою половину 
Я не часто смотрю кино из за учебы мало времени , Я боюсь что отношения на расстоянии для меня будуточень сложными
но подружатся ли мои кошки с твоим псом , Ну привет
Меня зовут Вася Я байкер А ты чем занимаешься, Круто На чм гоняешь
Девушка есть, Жестко
Ясненько Ну ладно, Я пойду Воу Как
Аккуратнее надо Где жившь, Понятно Екатеринбург Роком увлекаешься
Да, Может какнибудь выпьем вместе
Ххахах Позже назначим встречу Мне идти нужно, Привет
как вас зовут, Меня Михаилом звать Вот с пацанами пивко пьем а вы чемто увлекаетесь
где работаетеили вы еще студент, обожаю смотреть футбол с пацанами 
можно сказать хобби у меня такое я вот слесарем работаю гроши получаю главное чтона пивчик хватает  расскажите чтонибудь о с ебе себе, гитара это хорошо помню в карты играл поставилгитару и проиграл 
я конечно люблю пивчикно губит он людей может у вас животные есть, пешком ходите в походы или на тачке
я животных люблюно времени совсем нет ухаживать, вот оно как я вот на тачках люблю ездить в походы питаю тайную страсть  даааа работаю с ночи на пролет да и копейки зарабатываю
надеюсьты сслесарем не будешь, какието планы есть на будущее да не своя калымага стоитберу у друзей
почему осень, хммммвот оно как чтожприятно было пообщаться
Здраствуйте  как я могу к вам обращаться , У меня своя ферма следовательно очень люблю животных А вы чем
О полезное знакомство да разумеется  люблю готовить и занимаюсь танцами а у вас , Привет как дела
Прекрасно Чем занимаешься в свободное время, О а я люблю мыть посуду в еде предпочитаю овощии фрукты Я блондинка и если что не хочу замуж Мне и с котом хорошо живется
Что еще расскажешь, Интересно как Да Кот я ж говорю Ладно мне пора
привет, Аня А тебя Чем увлекаешься
А какие книги ты читаешь, Я люблю музыку а особенно гитару я даже немногомогу играть на гитаре Да замужем А ты
Сколько вас в семье, Это замечательно
Нет пока дома сижу А ты, Есть домашние животные
У меня собака сейчас пойду с ней гулять, Думаю я тоже хороший человек
Я тоже особенно ходить за грибами, Привет молодежь
Ну шо расскажи деду под что нынче танцуете в клубах Я отлично собираюсь на прогулку очень люблю гулятьпо вечерам а ты как  Пенсия маленькая, Почему теперь Какой предмет ведешь
В Адлере если будешьприезжай к нам пироги испечь, На уроки не просыпаешь
Море любишь, Привет
Меня зовут Аня, Играю на гитаре люблю музыку особенно гитару аты
Ух ты ты счастливый человек А я была замужем Мой муж выпивал а я ненавижу алкоголь Что ты ещ можешь рассказать о себе, Это очень интересное занятие А я сейчас ищу где жить я жила у мужа после разводапереехала к подруге Подруга хоть и бурчит но не выгоняет
Привет, Я работаю программистом  А ты кем работаешь
В свободное время люблю слушать музыку и заниматьсяспортом а ты любишь музыку Какая твоя любимая группа Работаешь поспециальности, Оо круто какое твое любимое блюдо Я люблю шашлыки жаришь на природе и под веселые песни группы Ленинград Я тоже по специальности закончил техникум по специальностипрограммирования
Даа я люблю спорт Движение это жизнь Каждый деньбегаю по утрам а ты любишь, Привет
Ты веришь в чудеса, А я верю в чудеса
Какие книги ты любишь Точнее жанр, Печально конечно А я люблю сказки Веришь в Деда мороза
Любишь делатьдарить подарки, Я люблю делать подарки Какое любимое время года 
Я люблю зиму, Зовут Ангелина Двое красивых деток у меня Люблю сыр
А Вы любите сыр Дима привет кем вы работаете Откуда Вы, А откуда Вы
Караганда Казахстан Дим круто Пиши, Привет
Как жизнь Меня завут Сергей, Сколько тебе
Мн Норм Куришь, Родители есть Женат Детишек есть Чего любишь
У меня кошка есть Где кем работаешь Где живешь, Я дворник
Ладно пока, То же
Привет , Клево А я только что покушала Чем любишь заниматься в свободное время
А я люблю смотреть аниме  дорамы ещ люблю смотреть, Иногда подрабатываю в магазине
Он родителей но они его на меня переписали поэтомуон как бы мой Сама себе зарплату плачу ахахаха, Магазин с канцтоварами
В магазине нет, В каком городе ты жившь
О А я в Кронштадте У нас там дом частный Ну типо хозяйство ещ сво Курочки и козы , Прив
Рыбалкой а чо по твоиму блондинке незя, А СПА женское а то вдруг
Не я жыву в частном доме зачем мне это, Привет как дела
Я люблю дизайн проекты а ты, Есть а у вас
Я увлекаюсь рисованием а Вы, Это круто я не очень У вас есть домашние животные
Есть, Собака кот рыбки тритон У вас есть хобби
привет, Я лена Я стюардесса А ты И
Все понятно с тобой Я замужем и у меня есть дочь Кроме секса ничего больше не любишь, Пироги печь
А ты, Здравствуй Сразу предупреждаю со мной скучно до чертиков  
Как жизнь Чем занимаешься, Тоже хорошо Есть ли какое то хобби
Нравится, А слушаешь тоже что то церковное Или ещ какие тостили нравятся
Я рэп тоже не слушаю  Больше как то поп рок нравится, Это да
Я люблю фотографировать этим и зарабатываю, Нет такого уровня я ещ не достиг
В основном именно это фотосессии и свадьбы Есть ли у вас какие нибудь домашние животные, Это да У меня вот например есть собака
Понятненько Пироги небось печте внучку, Нет Пока никого А вот всегда было интересно чтоже нравится из съестного самим бабушкам  А то онив основном нас пирогами балуют
Привет Как день проходит, Готовлю ужин Говорят я отличный повар Вс супер
Нет на самом деле я живу один в квартире, Ну вот Чем ещ занимаешься по жизни
Пока не работаю я поступлю в университет летом, А ты где работаешь
И как На жизнь хватает, Да но думаю что заведу домашнее животное чуть позже А ты любишь
Хорошие деньги круто Я хочу уехать на север послеунивера и там заработать денег, Всегда готов сначала слесарем потом
Дааа, Нет родителей
А у тебя, Эх так мы оказывается в чемто похожи
У тебя есть мечта, Пока только отучиться и получить диплом
Вс будет обязательно  У тебя как на личном фронте, Да а ты
ПВО, Стараюсь На механика
Нее механик на заводе Ремонт и обслуживание нефтехимическогооборудования, Ну
Стерлитамак Башкортостан А ты, Не там делать нечего Ты какую музыку предпочитаешь
Тоже рок люблю, Ахах Да разные по настроению
Качаюсь  ты со спортом дружишь, Ооо Здоровый
Питаетшься как, Ну да правильно
Фрикассе из кролика в винном соусе родственники помогают, Тоже хорошо не слесарем буду
Сегодня тепло но снег идт на дорогах каша У вас как, Ого Как тебя туда занесло
И это ты с котом туда отправился, Обычно коты домашние А этот прям молодец
Блин классно, Ну не вряд ли у меня получится я не такой человек
Есть такое, Но страшно
Нет Раньше было А ты, Ок спасибо большое Удачи
Привет как дела, Как у вас погода
Я адвокат А у нас погода супер только шторм не большойна море, Живу в Испании на берегу моря А вы
Мы с женой и тремя детьми недавно переехали, У вас есть дети
Косички и бантики Девочек своих рисуете, Добрый день
Как поживаете Вы любите общаться в чате, Мне это не часто удатся Вс время в дороге
Да У меня прекрасная семья Жена двое детей, Вс в переди Сколько Вам лет
Отличный возраст Прекрасная профессия, Какую кухню Вы предпочитаете Я водитель Дальнобойщик Иногда несколько суток за рулм
Да Отдыхаю потом в саду, привет давай общаться
ты работаешь или учишься, отлично хотя погода настроение портит Я создаю сладости я кондитер мечтаю в будущем открытьсобственную кондитерскую
это плохо нужно пить чай с малиной пока нет но планирую завести собакуя их очень люблю, было бы здорово на пробежку вместе с собакой а однойскучно бегать наверное ей просто не хватает общения или уже детейпора
да занимаюсь спортом с моей профессией нужно бытьв движении чтобы не поправиться стараюсь придерживатьсяправильного питания с недавних пор стала вегетарианкой здорово семьяэто хорошо, я пока не спешу только 2 года назад колледж окончила ещ хочется погулять сперва было тяжело но теперь втянулась
да это мо призвание что ещ о себе расскажешь, класс рядом с океаном я тебе немного завидую
Привет, Меня зовут Андрей
Хорошо У тебя как, Ещ бы Любишь животных Я да
Милота Учишься Работаешь, Кот Тоже рыжий
На кого , Прекрасная профессия У тебя есть мечта
Привет, Ты любишь попугаев
Тебе нравятся птицы, Не смотрю кино Люблю путешествовать на машине ездитьв походы
Это где одной левой в челюсть Ха А я бы мог и левой и правой Ты вот какой рукой пишешь Служил прическатак и осталась со мной А ты кем работаешь, Стригу людей и вожу уазик Корыто конечно  Нозато попугаю на корм хватает  У Тебя есть домашниеживотные
привет, я работаю учителем а ты
а у меня трое детей а еще кот и 2 собаки, вы все вместе живете
у меня тоже свой дом а Вы какую музыку предпочитаете, Классическую но по настроению бывает любую
тоже люблю класическую, Привет в каком институте учишься
Я студентка Пришла после пар, Сижу с котом Да
Ого, Сколько тебе
Студенту может быть и 40, Я студентка учусь в нижнем в свободное вркмя хожув качалку А ты
Привет, Я Аня
Поздравляю, Я тоже готовлю особенно торты Но при наличии двоих детей это тяжело
У меня шабашка поеду делать прически, У сестр праздник поэтому буду им делать А ты чем занимаешься
А где, Вау А жившь где
А я живу в Сочи у самого моря, привет
расскажи о себе, я на пенсии подрабатываю сторожем у тебя есть хобби я увлекаюсь ходьбой
я тоже люблю шашки но играть не с кем приходитьсяпросто смотреть телевизор, да любишь животных
у меня есть лабрадор том и я очень люблю, Привет 
Нормально А у тебя, Чем занимаешься
Ром пью, Нет Я никого не люблю
Живу один в Молдавии Люблю Молдавию, Не знаю А я детдомовский Какие родители
Молдавия не моя родина, Зато я блондин
Думаю я гений, А ты расскажи что нибудь о себе
Круто, Красотка Ну ладно Пойду я
Купил себе КамАЗ, И чиню его вечно Добрый вечер Оксана
Это и моя стихия У меня детки как цветы Сын и дочка, Прекрасно
Да Езжу по городам Ну что же Мне пора Рад был пообщаться, привет
как дела, отлично как твои дела у меня есть сын часто болеет
а я работаю кассиром а ты работаешь, я сейчас пеку пирог люблю готовить
здорово, а у меня есть кошка а ты любишь животных
здорово а я увлекаюсь блоггерством есть свой канална ютубе, позно ложится сам засыпает
у нас есть но мы его практически не смотрим, спасибо за теплую беседу
Ну привет, Играю в игры на пк А ты
Я работаю в Интернете и совсем не выхожу из дома Мало сплю, Ахахаха нет не много Да у меня вс время только на игры и работу уходит И днм и ночью
Привет, Ох понимаю а я безвылазно на работе а вы где работаете Оооо я там была мой бизнесмен и мы с семьей посетилиочень много стран
А мне тяжело с моей кошкой постоянно болеет  Ая постоянно в судах юрист дурацкая работа, Ахахахах деловая гуляет знаете что я люблю большекошек 
Ну зарплата хорошая если работа есть мужа нет авот в любовь как дурочка верю Больше кошек я люблю ананасы, Привет
Как дела, Вс отлично мы не знакомы поэтому предлагаю узнатьдруг друга получше
Я семьянинвоспитываю сына Люблю собака не кошек, Я увлекаюсь дайвингом Ты
А сколько тебе лет, Здоровоа мне 20 и я программист Ты любишь Книги
Я очень люблю читать, Здравствуйте Приятно познакомиться Люба
Как поживаете, Хорошо
В данный момент пеку хлеб Да есть сынишка Вы женат, Да ну Это не повод
Не любить не возможнодва мужчины в доме Пока не работаюно занимаюсь любимыми делами Например пишу музыку, Поп Большинство в стиле кантри Могу соченить частушки
Рас уж так пошло поделюсь с вами ещ своим новымувлечением  я как то раз сыну сделала скворечникв садик мне понравилось теперь у меня колекция , А кем вы работаете Да ещ и с оружием
Привет, Как твое настроение
Сейчас занимаюсь в спортзале А ты, Сегодня прекрасная погода я не люблю дожди и увяданиеприроды
Нет Я живу с родителями, Очень люблю посещать другие страны А ты что любишь
А я сейчас в приподнятом настроении так как в сердцеживт чувство Приятно было пообщаться До встречи, Привет
Я Леха оч приятно, 32 большой мальчик уже
чокак есть семья дети да не работаю уже в основном рыбачу да и дом строю, дааа было время
чем увлекаешься Олег, ну сына я сам родить не смогу но думаю жена поможет о музыка это хорошо
я больше котов люблю и жену она готовит вкусно, привет
чем занимаешься, а я много работаю
парикмахер встаки у тебя есть домашние животные У меня крыса, Ещ я люблю плавать а у тебя какое хобби
Привет, Ох я из России но на самом деле мечтаю жить за границей Например на берегу Карибского моря А ты
Да там тепло и очень солнечно И там есть пальмы А пока я живу в своем доме и снег тоже мне ужаснонадоел  Его же нужно чистить самому ,  Знаешь я ее в чем то понимаю Тоже люблю сидетьна окне и читать книжку а снежок там медленно падает мммм  красота А чем ты занимаешься ну  вообще
ооо я перестала смотреть фильмы из за работы Япрограммист и поэтому много времени провожу за компом Теперь стараюсь как то компенсировать это и побольшегулять на свежем воздухе Мне очень грустно что твоя семья расспалась  Ноя уверена что все будет хоршо нужно просто пережитьэтот момент, Добрый день 
поговорим о самооценке, как думаете что в вас самое красивое касательновнешности  я стараюсь быть уверена в себе не бояться проблем да и вообще жизнь свою люблю 
не могу не согласиться, правда мне кажется у меня очень красивые волосы нууу я азартная 
карты, конечно тем более без ловкости рук не обойтись но я несколько лет занимаюсь фокусами
уже да коплю на свою мечту, а это секрет скажу и не сбудется
я суеверная а вы, конечно когда есть время то же самое хочу спросить у вас
а я больше люблю чай вы романтик, правильно чем занимаетесь по жизни
разве это не прекрасно, согласна психология говорит что зелный успокаивает меня больше успокаивает чашка зелного чая хаха
да тогда до встречи, Добрый день
О у меня живет канарейка но увы не умею я доктор, Это очень круто я хирург у меня высшее образование Это очень мило У меня правда еще нет детей Но занимаюсь благотворительностью
Да но не больше чем писать стихи больше всего люблюписать стихи, Привет расскажи о себе
Меня зовут Серафима живу в деревне занимаюсь бытом, Я больше люблю собирать паззлы это успокаивает либозанимаюсь йогой Но иногда не хватает времени т к надо заниматьсяс детьми
Еще люблю готовить это прям мое, В основном супы Со вторым чуть сложнее но я стараюсь
Взаимно мне тоже приятно  Но мне пора уходить До скорого, Привет
А ты смотришь какие нибудь сериалы, Здорово Вот я просто обожаю сериалы А читать не особо люблю А занимаешься спортом
 Вот только недавно от родителей съехал Квартиру снимаю А домашние животные у тебя есть, Ну я спортсмен Так что не пью И на счт друзей У меня тоже их мало Но мой кот всегда со мной Мой лучший друг
Кем работаешь, Я студент Не работаю
Ладненько, Привет
Хорошо Жена не болеет Где ты живешь , Я слушаю рок музыку
Люблю ездить на озера Рыбачить, Я студентка
У меня есть рыжая  собака а у тебя есть животные, А я люблю мечтать
Прикольно а я обожаю  фанфики, Это написанные истории  фанатов о персонажей
Я каждый день бегаю  утром, Привет Как вас зовут
Нет недолюбливаю стереотипы Меня зовут Андрей, Возможно Вы любите Аниме
Я вои люблю аниме и Японию Нету но я хочу открыть забегаловку в Японии из зачего изучаю японский А вы, Это да Думаю Вы любите путешествовать как и я
Не так ли А вы любите природу, К примеру отдых на природе
Я тоже, Что вы можете рассказать о себе
Привет, Как тебя зовут Чем занимаешься
Марина Очень приятно, Какая умница
Я библиотекарь, В каждой работе есть свои нюансы Какие увлечения чем в свободное время занимаешься
В каком городе живешь, Челябинск
Еще пеку торты приезжай на тортик, 2 часа на самолете
Поедим тортик и пойдем кататься на коньках сгонятьжирок  Посмотреть то есть на что только не всегда можнодышать нашим воздухом  Ты любишь плавать, А я летом плаваю хобби мое Домашние животные есть
Кошка Буду работать и тебя не отвлекать приятно было познакомиться, Пока
Привет, Как тебя зовут Я Андрей
Программирую целыми днями и ночами хочу разбогатетьна этом А ты чем занимаешься , Приятно познакомиться Ална у тебя много друзей Как любишь развлекаться  Я что то заскучал совсемодин без друзей все разъехались Конечно мо хобби это чтение страсть как люблю читатькниги всякие Если ты модельер наверное хорошо разбираешьсяв моде Это интересно Какое твое хобби Кроме моды конечно
Модные костюмы приглядывала для охотников   Нетещ я холостой и одинокий программист  А ты однажившь , Приветик
Может познакомимся Просто из за экзаменов у меняне так много времени на общение, Я Мария С самого детства родители помогали мне хорошоучиться И теперь мои оценки лучшие в классе
Ого У меня тоже есть маленький котенок Мы нашлиего на улице и приютили Он так мило прыгает когдая с ним играю Мне это очень нравится, Я учусь в 9 классе И ещ очень люблю играть в шахматы потому что это развивает логические способности
Привет  Как твои дела, Р какое твое хобби
Собаки такие душки И котики ничего а что еще тылюбишь, Я вот вышивать люблю
Я сопровождаю людей в поездах так романтично Прощеговоря бортпроводник А ты, Привет
Я лЮдмила А ты, Хорошо
Мясо это зло Люблю булочки В глазури, Я кстати тоже хороша в пекарном деле
А я библиотекарь, Простите отвлеклась Меня и корова есть
Так что мои булки всегда на свежем молоке, Умею Как раз рлра идти доить
 Приветик, У тебя есть животные Ау
Я тоже обожаю у меня 4 племянника, Шутите У меня три кошки  Кошкин дом Кем работаете
Это точно, Та же беда
А я люблю мультики, Смотрю с племянниками Ага мило
Сколько их к вам Сколько детей у вас Мечтаю выучить английский А вы, Привет
Как дела, Хорошо Чем занимаешься
Я тоже Слушаю музыку, Да я всякую люблю Меломан Чем любишь заниматься в свободное время
Да их я тоже слушаю, С собакой гуляю Лабрадор у меня
АгаКемто работаешь или учишься, Пекарь
Обожаю А ты, Ахахаха тоже неплохо да больше ничем пекарня мовс Работаю уже 7 лет
Привет меня зовут Олег а тебя, Хорошо СакураКем ты работаешь
У меня нет времени на тусовки я скоро заканчиваюорденатуру и буду врачом Поэтому времени мало Почему не поверю все бывает в этой жизни, Недавно вернулся из Китая ездили туда на каникулыс братьями У тебя есть домашние животные
Понятно Вчера купил себе собаку всегда мечтал, привт
я врач а ты, а я рыбалку
я коплю деньги на зогородный дом есть сын я женат а ты, о
свой , это круто
 реп а ты, я такое нет
есть питомцы, кошка и собакен
Привет, Отлично Чем ты занимаешься
По жизни, Работаю Кем ты работаешь
Фрилансер А ты, Супер
Да, привет
Я тоже не замужем мо хобби читать книги Я преподаватель в школе, Ну почему же Она ведь твоя мама твоя семья
 Ну я больше  фантаскику люблю, привет
О Круто Можно сказать я тоже программист но программируюлюдей Скажем так нейрохакинг, Проще говоря я писатель
Могу писать так что люди сами не понимают где находятся Молодец Нравится, Я хорошо плаваю можем какнибудь вместе сходить
Какой твой любимый месяц года, привет
меня зовут Вероника рада знакомству,  ты откуда
класс а я из небольшой деревни  уже давно закончилаучебу училась на ветеренинара  очень люблю животных теперь у меня небольшая своя ферма  какие у тебя увлечения, я очень люблю готовить и енотов тоже еще у меня большой двухэтажный дом поэтому приходитсялюбить уборку 
а как твои родители относятся к твоей прическе, ты с ними живешь
мне нравятся люди которые не боятся перемен да у меня есть два старших брата сестер нет, рада была пообщаться пора бежать
